freq_hz,spl_db
20.00,71.11
21.20,74.34
22.46,77.28
23.80,78.19
25.23,77.60
26.74,78.10
28.33,79.13
30.03,80.15
31.82,81.36
33.72,82.37
35.74,83.69
37.87,84.99
40.14,85.90
42.54,86.47
45.08,87.04
47.77,86.51
50.63,85.62
53.65,85.73
56.86,86.41
60.26,87.16
63.86,87.63
67.68,88.01
71.72,88.47
76.01,88.87
80.55,89.05
85.37,89.32
90.47,89.32
95.87,89.44
101.60,89.32
107.68,89.03
114.11,89.32
120.93,89.32
128.16,89.03
135.82,89.03
143.94,89.03
152.54,89.03
161.66,89.03
171.32,88.47
181.56,88.64
192.41,88.75
203.91,88.91
216.09,89.08
229.01,89.32
242.70,89.32
257.20,89.03
272.57,88.85
288.86,88.75
306.13,88.75
324.42,89.03
343.81,88.75
364.36,88.75
386.14,88.75
409.22,88.47
433.68,88.18
459.59,88.75
487.06,88.63
516.17,87.01
547.02,86.30
579.72,88.57
614.36,89.49
651.08,88.45
689.99,88.68
731.23,90.12
774.94,90.74
821.25,89.31
870.33,88.85
922.35,89.55
977.47,89.07
1035.89,88.33
1097.81,87.85
1163.42,88.25
1232.95,89.30
1306.64,89.89
1384.73,90.46
1467.49,90.46
1555.20,91.03
1648.15,91.31
1746.65,90.98
1851.04,90.74
1961.67,90.74
2078.91,89.44
2203.16,89.79
2334.84,90.83
2474.38,91.31
2622.27,90.71
2778.99,90.66
2945.08,92.56
3121.10,91.98
3307.63,89.83
3505.32,88.84
3714.82,88.30
3936.84,86.80
4172.13,87.01
4421.48,86.19
4685.74,85.13
4965.79,81.37
5262.57,79.30
5577.10,77.80
5910.42,75.02
6263.66,69.11
6638.02,67.07
7034.75,68.36
7455.19,66.06
7900.76,64.32
8372.95,65.62
8873.37,63.52
9403.70,60.64
9965.73,57.44
10561.34,50.71
11192.55,
11861.49,
12570.41,
13321.69,
14117.88,
14961.65,
15855.85,
16803.50,
17807.78,
18872.09,
20000.00,
