freq_hz,spl_db,spl_offaxis1_db,spl_offaxis2_db
20.00,,,
21.20,,,
22.46,,,
23.80,,,
25.23,,,
26.74,,,
28.33,,,
30.03,,,
31.82,,,
33.72,,,
35.74,,,
37.87,,,
40.14,,,
42.54,,,
45.08,,,
47.77,,,
50.63,,,
53.65,,,
56.86,,,
60.26,,,
63.86,,,
67.68,,,
71.72,,,
76.01,,,
80.55,,,
85.37,,,
90.47,,,
95.87,,,
101.60,,,
107.68,,,
114.11,,,
120.93,,,
128.16,,,
135.82,,,
143.94,,,
152.54,,,
161.66,,,
171.32,,,
181.56,,,
192.41,,,
203.91,,,
216.09,62.77,,
229.01,64.24,,
242.70,65.35,,
257.20,66.16,,
272.57,67.19,,
288.86,68.07,,
306.13,68.75,,
324.42,69.83,,
343.81,71.05,,
364.36,72.11,,
386.14,73.24,,
409.22,74.32,,
433.68,75.28,,
459.59,76.18,,
487.06,77.06,,
516.17,78.13,,
547.02,79.48,,
579.72,80.80,,
614.36,81.74,,
651.08,82.69,,
689.99,83.73,,
731.23,84.90,,
774.94,86.23,,
821.25,87.12,,
870.33,88.36,,
922.35,89.20,,
977.47,89.94,,
1035.89,90.89,90.72,90.16
1097.81,91.17,90.91,91.10
1163.42,92.13,91.78,91.33
1232.95,92.61,92.50,92.11
1306.64,93.08,93.15,92.61
1384.73,93.52,93.30,93.09
1467.49,93.67,93.45,93.56
1555.20,94.13,93.73,93.24
1648.15,94.28,93.67,93.52
1746.65,94.60,93.90,93.52
1851.04,94.89,94.13,93.63
1961.67,95.11,94.55,93.67
2078.91,95.42,94.58,93.24
2203.16,95.64,95.04,93.37
2334.84,95.80,94.89,93.37
2474.38,94.95,95.17,93.45
2622.27,95.08,95.19,93.45
2778.99,95.48,94.41,93.08
2945.08,95.87,94.13,92.61
3121.10,96.27,94.52,92.54
3307.63,96.51,95.19,92.20
3505.32,95.97,94.91,91.73
3714.82,95.28,94.66,91.33
3936.84,94.88,94.05,90.94
4172.13,94.81,93.73,90.34
4421.48,94.66,92.81,89.85
4685.74,95.10,92.92,89.38
4965.79,94.82,92.99,89.51
5262.57,94.89,92.46,88.89
5577.10,95.21,92.01,87.35
5910.42,95.10,92.20,87.03
6263.66,95.49,92.23,85.16
6638.02,95.72,92.23,84.74
7034.75,95.95,91.78,85.35
7455.19,96.17,91.16,86.20
7900.76,95.23,89.66,84.30
8372.95,94.81,87.88,83.67
8873.37,94.51,88.22,83.30
9403.70,94.58,89.56,81.86
9965.73,94.67,90.29,78.51
10561.34,,,
11192.55,,,
11861.49,,,
12570.41,,,
13321.69,,,
14117.88,,,
14961.65,,,
15855.85,,,
16803.50,,,
17807.78,,,
18872.09,,,
20000.00,,,
