fc_hz,filter,dip_db,ripple_db,rms_db,maxdev_db,18w_headroom_db,12sw_ka
200,BW4,0.43,1.82,0.63,1.64,27.9,0.46
180,BW4,0.15,2.90,0.70,1.71,27.0,0.42
180,LR2,0.30,2.88,0.81,1.88,27.0,0.42
180,BW2,0.30,2.88,0.81,1.88,27.0,0.42
160,BW4,-0.27,4.14,0.81,1.77,25.9,0.37
160,LR2,0.19,3.89,0.83,1.95,25.9,0.37
160,BW2,0.19,3.89,0.83,1.95,25.9,0.37
200,LR2,0.12,2.05,0.85,2.05,27.9,0.46
200,BW2,0.12,2.05,0.85,2.06,27.9,0.46
150,LR2,0.11,4.38,0.85,2.17,25.4,0.35
150,BW2,0.11,4.38,0.85,2.17,25.4,0.35
150,BW4,-0.45,4.74,0.88,1.95,25.4,0.35
140,LR2,0.01,4.92,0.89,2.40,24.8,0.32
140,BW2,0.01,4.92,0.89,2.40,24.8,0.32
80,LR4,-0.47,4.34,0.92,2.24,19.9,0.19
90,LR4,-1.28,5.35,0.92,2.25,20.9,0.21
130,LR2,-0.10,5.40,0.92,2.63,24.1,0.30
130,BW2,-0.10,5.40,0.93,2.63,24.1,0.30
100,LR4,-1.51,5.71,0.93,2.26,21.9,0.23
110,LR4,-1.52,5.84,0.93,2.27,22.7,0.26
120,LR4,-1.54,5.94,0.93,2.28,23.4,0.28
130,LR4,-1.55,6.01,0.94,2.29,24.1,0.30
140,LR4,-1.56,5.85,0.94,2.31,24.8,0.32
150,LR4,-1.58,5.43,0.94,2.33,25.4,0.35
160,LR4,-1.60,5.05,0.95,2.34,25.9,0.37
180,LR4,-1.64,4.32,0.95,2.38,27.0,0.42
140,BW4,-0.63,5.37,0.96,2.20,24.8,0.32
200,LR4,-1.68,3.64,0.96,2.42,27.9,0.46
120,LR2,-0.18,5.68,0.96,2.86,23.4,0.28
120,BW2,-0.17,5.68,0.96,2.86,23.4,0.28
110,LR2,-0.25,5.96,0.99,3.08,22.7,0.26
110,BW2,-0.25,5.96,0.99,3.08,22.7,0.26
80,LR2,0.94,5.25,1.00,3.41,19.9,0.19
80,BW2,0.94,5.25,1.00,3.41,19.9,0.19
100,LR2,-0.14,6.05,1.01,3.26,21.9,0.23
100,BW2,-0.14,6.05,1.01,3.26,21.9,0.23
90,LR2,0.09,5.99,1.01,3.39,20.9,0.21
90,BW2,0.09,5.99,1.01,3.39,20.9,0.21
130,BW4,-0.79,5.82,1.03,2.41,24.1,0.30
80,BW4,0.04,6.28,1.07,3.63,19.9,0.19
120,BW4,-0.93,6.11,1.09,2.62,23.4,0.28
90,BW4,-0.78,6.77,1.12,3.59,20.9,0.21
110,BW4,-1.03,6.41,1.13,2.90,22.7,0.26
100,BW4,-0.94,6.60,1.14,3.28,21.9,0.23
