theta_deg,f200Hz_dB,f499Hz_dB,f996Hz_dB,f1991Hz_dB,f4015Hz_dB,f8021Hz_dB,f16026Hz_dB
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,-0.0022,-0.0090,-0.0268,0.1103,-0.0980,-0.9430,-3.8552
20,-0.0084,-0.0351,-0.1042,0.5089,-0.2154,-2.8030,-3.7326
30,-0.0180,-0.0750,-0.2227,1.4066,0.1714,-1.9896,-2.0540
40,-0.0298,-0.1240,-0.3684,3.1733,1.8117,1.1485,0.7877
50,-0.0424,-0.1763,-0.5237,6.3557,5.3745,5.1643,5.0816
60,-0.0541,-0.2254,-0.6699,11.7404,11.3700,11.3937,11.3933
70,-0.0637,-0.2656,-0.7892,20.7298,20.8728,20.9048,20.8870
80,-0.0700,-0.2919,-0.8672,37.5151,37.8598,37.8825,37.8808
90,-0.0722,-0.3010,-0.8942,929.7124,930.0863,930.1093,930.1107
100,-0.0700,-0.2919,-0.8672,nan,nan,nan,nan
110,-0.0637,-0.2656,-0.7892,nan,nan,nan,nan
120,-0.0541,-0.2254,-0.6699,nan,nan,nan,nan
130,-0.0424,-0.1763,-0.5237,nan,nan,nan,nan
140,-0.0298,-0.1240,-0.3684,nan,nan,nan,nan
150,-0.0180,-0.0750,-0.2227,nan,nan,nan,nan
160,-0.0084,-0.0351,-0.1042,nan,nan,nan,nan
170,-0.0022,-0.0090,-0.0268,nan,nan,nan,nan
180,0.0000,0.0000,0.0000,nan,nan,nan,nan
